W,Q_rio,T,pH,SS,I0,OD,C_procesos,C_obs,t12_bio,theta,n,B,t12_foto_sol,t12_ox8,M_up,ruido
883.759228065426,15.22397249973442,16.34878460280743,7.280299525388872,72.99129118176344,0.0,6.705049509484041,0.0006109252149201646,0.0006006434804467887,54.48084124486461,1.0764542305400753,0.0402571250613666,20.459384502079526,0.6696304227523788,3.4543363460247947,71.5149586332182,0.9129739332148882
864.6151262144017,30.35041794025082,12.917265320159,7.930670846413306,467.1690801703067,29.25876697432783,7.545414680343291,0.0003135683014896424,0.00036069512267946496,73.22932291224727,1.0495069042410279,0.049500929200042294,22.873006424181778,0.602200475021234,3.3957017410419255,222.77972244816806,0.9282745863071912
846.2885391949089,26.495785098522926,12.888510036504714,8.185766498751285,237.0697146563539,151.86158201982985,6.859046187853557,0.00034730964991430403,0.000426964696056519,57.9682707284671,1.0519926934536865,0.036850846769268655,23.11506796271165,1.3691106166804112,2.2194838558922925,182.59091504154284,1.0448273035030975
994.269365976699,30.726617467089593,16.416309374768485,7.212969474748639,239.7154292399732,0.0,6.543971357815227,0.00035677131230304153,0.00035581026257881364,43.52835863256267,1.046227747874704,0.04703931229351696,23.22702957737458,1.7171140331606223,2.9367298471145524,70.91987144816173,0.9344752857294479
1040.5385454692878,11.156765277368983,14.331255030541932,8.120544608950702,29.18743415048386,0.0,6.61146958227354,0.0009504169528214128,0.0009853042548565343,102.16782657122195,1.040817555792433,0.043616704759243875,21.297903905398144,1.9715747253923337,2.027152314835223,119.58156445777833,0.9797294564425755
1078.6209399139552,33.4213122688733,17.142798909803005,7.763645684416662,627.2120754329163,203.07028394476222,6.7420845946235515,0.00035431087607955123,0.00036378513199892003,35.860994195492005,1.0451977678422386,0.04657169687356315,24.607323289673616,0.6497180233495345,1.8490535214469106,59.56500274231465,0.9852745095253058
1422.4992205119574,19.93854282663286,13.400976657019637,8.1755275923561,217.77895966359424,0.0,7.065542553789665,0.0007672576381849599,0.0009004628658364594,51.95580438333557,1.0372078941630358,0.04699133230243154,20.537078919801957,0.5472454159802025,3.736075224863569,228.31301608459316,1.0396217981833216
1264.6909731483,34.080353395251905,13.441434953338682,8.230087582119973,292.7599912216807,222.1092901085814,7.557037516279805,0.0004075061655563945,0.00040777882731653215,91.53058371994325,1.0773589243781765,0.0434428957389192,20.359843799018705,1.1183864967583208,3.354511563520828,182.67580088609785,0.8913299721410718
1132.0554405052246,25.457489673944185,17.17950957170966,7.554874294173192,348.91490139022983,97.29649043136064,6.439383736293075,0.0004835077941035488,0.0005327427395161899,66.4680293954244,1.0611023147264678,0.04730276813234606,24.463308027807635,1.5136315343115925,3.5945712062345967,209.0359177758108,0.93281073816292
1417.4109948965065,24.230133349330462,14.170215659983477,8.223425750376055,302.5516284198804,336.03601603249786,7.455813148796972,0.0006275778617300511,0.0006853020877382006,88.08977865751947,1.077733865934227,0.0471179174671912,22.986288776735584,1.8657990493287204,2.902038826452091,179.9511288596831,0.9930791639029276
815.510167227296,31.270007699527664,12.658831570403013,7.234537514658025,327.5010248763365,166.52316727207295,7.090767006278178,0.00028587241252065626,0.00035447117692224793,37.06213311685746,1.0369494368298264,0.047566713092348056,23.1716924356678,1.1225605774414267,3.0181406106815314,96.35888441562525,1.1070301628105221
772.644962341403,26.26121474295168,13.321800501856721,7.57701349658071,135.9637350801676,0.0,7.627354397527837,0.0003218588369125767,0.0003790413064177781,114.3184396629301,1.0613307124062226,0.04818184097662505,18.772508548883465,1.3085315733270066,3.956609881053102,197.29017414768316,0.9433020379653526
1124.555812124418,27.538867329398364,16.617365434893962,7.576233311030248,415.67305050407344,257.3616222587209,7.045584107907078,0.0004429316825218462,0.00047480388985623345,65.36871044805554,1.0523368823029178,0.03722558581682747,20.5608577483208,0.5205523039387594,2.7244152176759195,158.64291600903786,0.9381978611091896
682.1868821939563,14.097637648798369,13.592701903403606,7.318674425766222,82.14720767224094,0.0,6.917271956728958,0.000505678879044473,0.0007196303385064935,104.38725690781217,1.0755810476236507,0.04223197698695852,16.05409474471837,0.8592129909460602,1.8130689816149488,246.09987775847273,1.0532924201365876
